,2011.0,2012.0,2013.0
Baisley Park,0.247867528879,,
Chinatown,,0.30383397868,
Clinton Hill,,2.6059857271,0.127431893271
Crown Heights North,,,0.793354617818
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.31893065359,0.213810014544,
East Elmhurst,0.463281892605,0.551102020833,
East Harlem South,1.020993324,0.520417867868,
East Williamsburg,1.0352410538,1.03084879574,0.0886069678474
Flushing,0.228169327222,,0.140437852401
Greenpoint,0.973345694085,0.52145175784,0.0908243275996
Hunters Point-Sunnyside-West Maspeth,,0.245454746621,
Lower East Side,0.970148398554,0.432640285475,0.555095175613
North Side-South Side,0.328781749514,0.299976914533,0.119162395647
Prospect Heights,,,0.0948285855285
South Ozone Park,0.774786462642,,0.449164096534
Springfield Gardens South-Brookville,,,0.161878528916
