,2011.0,2012.0,2013.0
Astoria,,,0.0513812173491
Baisley Park,0.247867528879,,
Bay Ridge,0.0835080419538,,0.0868055923039
Bayside-Bayside Hills,,0.0499078612069,
Briarwood-Jamaica Hills,0.0647913657004,,0.0405283519264
Canarsie,0.0655773796486,,0.0698437537252
Carroll Gardens-Columbia Street-Red Hook,0.124774043595,0.074425857333,
Chinatown,0.194150944233,0.30383397868,
Clinton Hill,,2.6059857271,0.127431893271
Corona,,0.038837428065,
Crown Heights North,,,0.793354617818
East Elmhurst,0.463281892605,0.551102020833,0.0660083862219
East Harlem South,1.020993324,0.520417867868,
East Williamsburg,1.0352410538,1.03084879574,0.0886069678474
Elmhurst,0.0767236423569,,
Flushing,0.228169327222,0.1709210159,0.140437852401
Greenpoint,0.973345694085,0.52145175784,0.0908243275996
Jamaica,,,0.0801430344455
Jamaica Estates-Holliswood,,0.0453456768492,
Kew Gardens Hills,,0.0617045670882,
Lower East Side,0.970148398554,0.432640285475,0.555095175613
Murray Hill,,0.0439576054035,
Prospect Heights,,,0.0948285855285
Rego Park,0.0569310121903,,
Richmond Hill,,,0.0304296362021
South Ozone Park,0.774786462642,,0.449164096534
Springfield Gardens North,0.0826627661485,,
Springfield Gardens South-Brookville,0.227537359031,0.173650076738,0.161878528916
Steinway,,0.206549805542,0.0388633242729
Stuyvesant Town-Cooper Village,,0.118773054587,
Washington Heights South,0.123610039054,,
Whitestone,,0.0421297184644,
Woodside,,,0.0457091660367
