,2011.0,2012.0,2013.0
Airport,0.182414234277,,
Astoria,0.189354006196,,0.112230793967
Brooklyn Heights-Cobble Hill,3.10657492471,1.02643839462,
Carroll Gardens-Columbia Street-Red Hook,,2.49670504333,
Central Harlem South,0.901817725308,0.460633161466,0.187672547385
Chinatown,,,0.062153430368
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.501786350116,0.261800513739,
East Harlem North,0.487490258218,0.647201556936,
East Williamsburg,,4.10626006161,2.40478483641
Greenpoint,1.78240148618,0.167092117246,0.739106130176
Hunters Point-Sunnyside-West Maspeth,0.0660796892716,0.141863116034,0.104817605015
Lower East Side,,,0.0611066985399
North Side-South Side,0.403882616937,0.212273974253,0.27187841673
Queensbridge-Ravenswood-Long Island City,,0.100777812388,
Stuyvesant Town-Cooper Village,0.288638315558,,0.435898109891
Washington Heights South,,,0.114536222319
