,2011.0,2012.0,2013.0
Airport,0.182414234277,0.01514244522,0.0595952279622
Astoria,0.189354006196,0.0635606320856,
Bay Ridge,0.0222930759679,,
Bensonhurst East,,0.0139356177339,
Briarwood-Jamaica Hills,,0.0159248567639,
Brooklyn Heights-Cobble Hill,3.10657492471,1.02643839462,
Carroll Gardens-Columbia Street-Red Hook,,2.49670504333,
Central Harlem South,0.901817725308,0.460633161466,0.187672547385
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.501786350116,0.261800513739,
East Harlem North,0.487490258218,0.647201556936,
East Harlem South,0.0599243123734,0.05112371094,0.0311131686441
East Tremont,0.0204292492122,,
East Williamsburg,,4.10626006161,2.40478483641
Elmhurst,,,0.0225390784214
Flatlands,0.0214475438205,,
Forest Hills,,0.0380951852879,0.0356786603578
Greenpoint,1.78240148618,0.167092117246,0.739106130176
Homecrest,,0.0146898684489,
Hunters Point-Sunnyside-West Maspeth,0.0660796892716,0.141863116034,0.104817605015
Jackson Heights,,,0.0534464591872
Jamaica Estates-Holliswood,0.0205522646142,,
Kew Gardens,,,0.0232609313686
Kew Gardens Hills,,0.0141739931256,
Manhattanville,,,0.0330526012712
Midwood,0.0203853592016,,
Pelham Parkway,0.0242081615566,,
Prospect Heights,,0.0182833687306,
Queensboro Hill,0.0244094309192,,
Queensbridge-Ravenswood-Long Island City,,0.100777812388,0.0490524294312
Rego Park,,,0.0226562983431
Springfield Gardens South-Brookville,,,0.0235759207271
Stuyvesant Town-Cooper Village,0.288638315558,,0.435898109891
Washington Heights South,,,0.114536222319
Westchester-Unionport,,,0.0290161946818
Woodhaven,0.0202306104963,,
Woodside,,,0.0263396057532
