,2011.0,2012.0,2013.0,2014.0,2015.0
Airport,0.182414234277,,,,
Astoria,0.189354006196,,0.112230793967,,
Brooklyn Heights-Cobble Hill,3.10657492471,1.02643839462,,0.529716440738,0.21343172101
Carroll Gardens-Columbia Street-Red Hook,,2.49670504333,,2.9650890709,0.719347259601
Central Harlem North-Polo Grounds,,,,,1.58675908064
Central Harlem South,0.901817725308,0.460633161466,0.187672547385,0.361050828466,0.411083426688
Chinatown,,,0.062153430368,,
Clinton Hill,,,,0.225380693064,0.970881792721
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.501786350116,0.261800513739,,,
East Harlem North,0.487490258218,0.647201556936,,0.360266068189,0.607475596581
East Harlem South,,,,0.207115372733,0.209485636812
East Williamsburg,,4.10626006161,2.40478483641,,
Fort Greene,,,,,0.13939188502
Greenpoint,1.78240148618,0.167092117246,0.739106130176,,
Hunters Point-Sunnyside-West Maspeth,0.0660796892716,0.141863116034,0.104817605015,0.190079449302,
Lower East Side,,,0.0611066985399,,
North Side-South Side,0.403882616937,0.212273974253,0.27187841673,,
Prospect Heights,,,,0.0780038470327,0.104284830867
Queensbridge-Ravenswood-Long Island City,,0.100777812388,,,
Steinway,,,,0.191547902344,
Stuyvesant Town-Cooper Village,0.288638315558,,0.435898109891,0.353037737522,0.174268919885
Washington Heights South,,,0.114536222319,,
